key	description_generated	description_generated_from	genes_shown	model	prompt_version	status
go:GO:0030516	Regulation of axon extension controls how fast and how far a growing axon advances, setting the pace of wiring during nervous system development and limiting regrowth after injury in the adult. Neurons depend on it to reach appropriate targets at the right time; when the balance of promoting and inhibiting cues is disturbed, axon tracts are misrouted or truncated, and myelin-derived inhibitors such as MAG and Nogo acting through NGR block regeneration after spinal cord damage. The genes span the whole chain from cue to cytoskeleton: attractive and repulsive guidance ligands and receptors including semaphorins with their plexin and neuropilin partners, netrin, slit, Wnts and chemokines; adhesion molecules of the L1 family and cadherins; and downstream kinases and cytoskeletal regulators such as CDK5, GSK3B, PAK1, LIMK1, shootin-1 and microtubule-associated MAP1B and tau that lengthen or stall the growth cone.	description+name+genes	83	claude-opus-5	v3	superseded
go:GO:0030516	Neurons wire the brain by extending a single long axon toward its target, and this is the control layer that sets how fast, how far and in which direction that extension proceeds. It underlies axon guidance and tract formation during development and limits regrowth after injury in the adult, where myelin-derived inhibitors such as MAG and RTN4 (Nogo) acting through the Nogo receptor collapse growth cones and block repair. Attractive and repulsive cues / netrin-1, slits, semaphorins with their plexin and neuropilin receptors, Wnts, CXCL12 and NGF / converge on Rho-family effectors including PAK1, LIMK1 and ABL1, and on kinases such as CDK5 and GSK3B that phosphorylate microtubule-associated proteins including MAPT, MAP1B and CLASP2 to remodel the cytoskeleton. Adhesion molecules L1CAM, NRCAM and DSCAM couple the growing tip to its substrate. Mutations in several members, including CDKL5 and PAFAH1B1, cause neurodevelopmental disease.	description+name+genes	83	claude-opus-5	v4	current
go:GO:0030517	Growing axons must be told where not to go, and the negative regulation of axon extension supplies that instruction: repulsive and inhibitory cues that slow, stall or collapse a growth cone so that tracts stay in their corridors, cross the midline only once, and stop at their targets. Semaphorins acting through plexin and neuropilin receptors, slits, netrin-related draxin, and Wnt ligands signalling via Ryk provide the extracellular signals, while myelin-associated inhibitors such as MAG and Nogo acting on the Nogo receptor, together with the chondroitin sulfate proteoglycan tenascin-R, enforce the same restraint in mature CNS tissue. Cytoplasmic effectors including Cdk5, a Rho-family GAP and the receptor phosphatase PTPRS convert these cues into cytoskeletal disassembly. The same inhibitory environment that stabilises adult circuits is what blocks regrowth after spinal cord injury, making these molecules targets for regeneration strategies.	description+name+genes	32	claude-opus-5	v4	current
go:GO:0030520	Estrogens act largely by binding intracellular receptors that work as ligand-dependent transcription factors, and this pathway covers how that binding is converted into changes in gene expression. It sets up the hormone responsiveness of breast, uterine, bone, and neural tissue, underlies female reproductive physiology, and when deregulated drives the growth of hormone-receptor-positive breast cancer that endocrine therapy targets. The receptors ESR1 and ESR2, with the related androgen receptor, recruit coactivators such as NCOA1, MED1 and the arginine methyltransferase CARM1, or corepressor complexes containing the deacetylases HDAC1 and HDAC2, to switch target promoters on or off. Chromatin and pioneer factors including FOXA1 and KMT2D determine which sites are accessible, while RNA helicases DDX5 and DDX17, the CCR4-NOT complex, and UFM1 conjugation components add post-transcriptional and post-translational layers of control over receptor output and turnover.	description+name+genes	58	claude-opus-5	v4	current
go:GO:0030521	Testosterone and dihydrotestosterone act largely through a single intracellular receptor, and androgen receptor signalling is the route by which that hormonal cue becomes a change in gene transcription. It builds and maintains male reproductive tissues and secondary sex characteristics, drives prostate epithelial identity through targets such as NKX3-1, and is the therapeutic axis in prostate cancer, where receptor reactivation underlies castration resistance; loss-of-function causes androgen insensitivity. Ligand binding releases the receptor from chaperone control, with the immunophilin FKBP4 assisting maturation, and allows nuclear translocation and binding at hormone response elements. Output is then set by coregulators: the acetyltransferase EP300 and the remodeller SMARCA4 favour activation, NCOR1/NCOR2 with HDAC1 and SIRT1 repress, and lysine demethylases including KDM1A and KDM3A tune chromatin, while ubiquitin ligases, SUMO and palmitoylation enzymes control receptor stability and localisation.	description+name+genes	51	claude-opus-5	v4	current
go:GO:0030522	Signalling that begins inside the cell rather than at its surface, where ligands that cross the membrane engage receptors in the cytoplasm or nucleus and convert them directly into transcriptional or inflammatory outputs. One arm is the nuclear receptor superfamily — steroid and thyroid hormone receptors, retinoic acid and vitamin D receptors, PPARs, liver X and farnesoid receptors, ROR and REV-ERB clock receptors — which bind lipophilic hormones, sterols, bile acids and retinoids, exchange corepressor complexes for coactivators such as the NCOA proteins, MED1 and p300, and thereby set metabolic, reproductive, developmental and circadian gene programmes. A second arm comprises intracellular immune sensors: cGAS–STING and RIG-I/MDA5–MAVS for cytosolic nucleic acids, endosomal TLRs, NOD proteins and inflammasome scaffolds, driving interferon and NF-κB responses. Ligand availability is shaped by cytochrome P450 hydroxylases, and misregulation underlies hormone-driven cancers, metabolic disease and autoinflammation.	description+name+genes	428	claude-opus-5	v4	current
go:GO:0030534	Adult behavior covers the coordinated actions of a mature organism – feeding, locomotion, grooming, social interaction, learning, anxiety and reward-seeking – and the genes grouped here are those whose disruption changes such behaviors rather than gross body plan. The collection spans the neural substrates on which behavior rests: neurotransmitter receptors and transporters for dopamine, serotonin, glutamate, glycine, GABA, acetylcholine and opioid peptides; hypothalamic appetite signals such as leptin, ghrelin and its receptor, orexin, NPY and AGRP that set feeding and energy balance; and synaptic organizers including neurexins, neuroligins and SHANK scaffolds that build and tune excitatory and inhibitory contacts. Also present are genes for neuronal survival and cytoskeletal or lysosomal maintenance, whose loss produces degenerative and storage diseases with behavioral onset. Mutations across these groups underlie autism spectrum conditions, obsessive grooming, addiction vulnerability, epilepsy, obesity and parkinsonism.	description+name+genes	164	claude-opus-5	v4	current
go:GO:0030539	Male genitalia development covers the outgrowth and patterning of the external genitalia and associated ducts, from the indifferent genital tubercle through masculinization to mature structures. It depends on androgen action layered onto a limb-like outgrowth programme: luteinizing hormone signalling through its gonadal receptor drives testicular steroidogenesis, HSD17B3 completes testosterone synthesis, and 5-alpha-reductase converts it to the more potent dihydrotestosterone that the androgen receptor uses to masculinize the urogenital sinus and tubercle. Morphogenesis itself runs on SHH, FGF8 and FGF10, BMP, WNT/beta-catenin and posterior HOX13 factors, with WT1 and WNT9B shaping the gonad and nephric duct territory from which these structures derive. Loss of any step produces the recognizable spectrum of disorders of sex development typical undervirilization, hypospadias, cryptorchidism, or genital agenesis and the same androgen dependence is later exploited pharmacologically in prostate disease.	description+name+genes	23	claude-opus-5	v4	current
go:GO:0030540	Formation of the female external and internal genitalia converts an indifferent embryonic primordium into mature structures, a programme whose failure produces ambiguous genitalia, vaginal or uterine agenesis, and infertility. The genes here span the two things this development requires: patterning signals and hormonal context. Transcription factors and morphogens including LHX1, TBX3, WNT5A and FGF10 shape the Müllerian ducts and genital tubercle, with CHD7 linking the process to broader developmental syndromes. Steroid signalling sets the female course, with aromatase generating oestrogen, the oestrogen receptor transducing it, and 5-alpha-reductase activity determining local androgen potency; retinoid supply through RBP4, STRA6 and LRP2 supports the same epithelial differentiation. Apoptotic regulators BAX and BAK1 and the TAM receptor kinases AXL, MERTK and TYRO3 contribute the tissue remodelling and clearance that accompany duct regression and growth.	description+name+genes	19	claude-opus-5	v4	current
go:GO:0030574	Collagen is the most abundant protein of the extracellular matrix, and its controlled breakdown lets tissues remodel during wound healing, bone turnover, involution and immune cell migration; unchecked, the same proteolysis drives tumour invasion, arthritic cartilage loss and osteoporotic bone resorption. Secreted and membrane-anchored matrix metalloproteinases do the bulk of the cutting, with interstitial collagenases such as MMP1, MMP8 and MMP13 cleaving the triple helix and MMP2, MMP9 and membrane-type enzymes degrading the fragments and activating other proteases. Lysosomal cysteine cathepsins, notably CTSK in osteoclasts, degrade collagen intracellularly after receptor-mediated uptake, and prolidase completes the recycling of proline-containing dipeptides. Counterweights and modifiers appear as well: cystatin C restrains cathepsins, procollagen N-proteinases and furin act on maturation, and reticulophagy regulators handle degradation of collagen inside the secretory pathway.	description+name+genes	45	claude-opus-5	v4	current
go:GO:0030575	Nuclear body organization covers the assembly, maintenance and dissolution of the membraneless compartments that punctuate the nucleoplasm outside the nucleolus — PML bodies, Cajal bodies, paraspeckles and splicing speckles. These condensates concentrate factors for small nuclear RNP maturation, telomerase trafficking, SUMO-dependent protein modification, and stress and DNA damage responses, so their formation determines where such reactions happen rather than whether the components exist. The architectural long noncoding RNA NEAT1 nucleates paraspeckles, PML scaffolds bodies where SUMO1 conjugation and partners such as HIPK2 and CDKN2A converge on p53 activation and senescence, and WRAP53 directs Cajal body components to their destination. Kinases including SRPK2, DYRK3 and VRK1 phosphorylate condensate constituents to drive disassembly, notably at mitotic entry. Disrupted body formation is linked to spinal muscular atrophy, viral antagonism of intrinsic immunity and failure of growth arrest.	description+name+genes	18	claude-opus-5	v4	current
go:GO:0030578	PML bodies are dot-like nuclear structures that concentrate regulatory proteins for apoptosis, senescence, DNA damage responses and antiviral defence, and their organization — the assembly, arrangement and disassembly of these compartments — determines whether those responses can be staged. The scaffold is built by PML itself, whose oligomerization and SUMO modification, with SUMO1 supplied here, creates the shell and the binding surfaces that recruit client proteins through SUMO-interaction motifs. Recruited kinases such as HIPK2 use the body as a platform to phosphorylate p53 and drive cell death after genotoxic stress, while transcriptional and RNA-binding partners including ETS1, HABP4 and SERBP1 link the structure to gene expression control. Loss of this organization is characteristic of acute promyelocytic leukaemia, where a fusion protein disperses the bodies; therapeutic arsenic restores them, tying nuclear body integrity directly to growth suppression.	description+name+genes	7	claude-opus-5	v4	current
go:GO:0030593	Neutrophils are the first leukocytes to arrive at infected or injured tissue, and neutrophil chemotaxis is the guidance system that gets them there: directed crawling up gradients of host- and pathogen-derived signals. Without it, bacterial and fungal infections go uncontained; with it unrestrained, the same cells drive tissue damage in sepsis, acute lung injury and chronic inflammation. Gradients are read by G protein-coupled receptors for interleukin-8 and related CXC chemokines (CXCR1, CXCR2), complement fragments (C3AR1, C5AR1) and alarmins such as S100A8/A9. Their signals converge on phosphoinositide 3-kinase gamma and delta, Rac GTPases with their VAV and PREX exchange factors, and the actin regulator NCKAP1L to polarize the cell and build a leading edge. Beta-2 integrins and junctional adhesion molecules then anchor adhesion and transendothelial migration, while SLIT2 and repressors of migration provide stop signals.	description+name+genes	85	claude-opus-5	v4	current
go:GO:0030595	Directed migration of white blood cells toward a chemical cue is how the immune system concentrates defence at a site of infection or injury, and how leukocytes home to lymph nodes and tissues in the steady state. The gene set is built around chemokines and their G protein-coupled receptors — CXCL8 and CXCR1/CXCR2 for neutrophils, CCL2/CCR2 for monocytes, CCL19 and CCL21 with CCR7 for lymph node entry, CXCL12–CXCR4 for progenitor and lymphocyte positioning — together with complement fragment receptors C3AR1 and C5AR1, formyl peptide and lipid mediator receptors, and alarmins such as S100A8/A9 and HMGB1 released by damaged tissue. Downstream, PI3Kγ, SYK, LYN, Rac GTPases and their exchange factors convert a shallow gradient into polarised actin protrusion, while β2 integrins and ADAM proteases handle adhesion and shedding during transmigration. Too little of this causes recurrent infection; too much sustains chronic inflammation, autoimmunity and tumour-promoting myeloid infiltration.	description+name+genes	241	claude-opus-5	v4	current
go:GO:0030638	Polyketides are acetate-derived natural products, and in human tissues the chemistry that concerns them is mostly catabolic: reducing and conjugating polyketide-derived compounds taken in from the environment or given as drugs. The aldo-keto reductase family dominates here, with members of the AKR1A, AKR1B, AKR1C and AKR7 groups using NADPH to reduce carbonyl groups on such substrates, alongside a carbonyl reductase subunit and a cytosolic sulfotransferase that adds a sulfate group to phenolic hydroxyls. The clinical stake is chiefly pharmacological: anthracycline anticancer agents are polyketides, and their carbonyl reduction yields alcohol metabolites that are less cytotoxic to tumour cells but implicated in cardiac toxicity, so the level of these enzymes shapes both drug response and resistance. The same reductases also handle steroid, prostaglandin and xenobiotic carbonyls, placing this activity within general phase I and phase II detoxification of small molecules.	description+name+genes	10	claude-opus-5	v4	current
go:GO:0030643	Cells must hold internal phosphate within a narrow range, since phosphate is the currency of nucleotide synthesis, ATP, phospholipids and protein phosphorylation, yet excess drives calcification. Intracellular phosphate homeostasis is maintained by balancing uptake against export and by hormonal control of both. Sodium-dependent transporters of the SLC34 family import phosphate across apical membranes of renal proximal tubule and lung alveolar epithelium, while XPR1 provides the principal route for phosphate efflux. FGF23, whose parathyroid context is reflected by GCM2, acts as the phosphaturic hormone that suppresses renal reabsorption, and the scaffold NHERF1 positions transporters in the brush border. ENPP1 and ABCC6 govern extracellular pyrophosphate, the antagonist of mineral deposition. Loss of these controls produces hypophosphatemic rickets, nephrolithiasis and nephrocalcinosis, pulmonary alveolar microlithiasis, or ectopic arterial and soft-tissue calcification.	description+name+genes	10	claude-opus-5	v4	current
go:GO:0030656	Vitamins must be taken up, activated and interconverted at rates matched to demand, and this pathway covers the control layer sitting over those reactions rather than the reactions themselves. Its outputs matter for retinoid and cobalamin supply in particular: RDH10 oxidises retinol to retinaldehyde as the committed step toward retinoic acid, AKR1C3 acts on retinoid and prostaglandin substrates, and CD320 is the receptor that delivers transcobalamin-bound vitamin B12 into cells, with loss of function causing methylmalonic acidaemia. Transcriptional regulators including GFI1, SNAI1 and SNAI2 and the NF-κB subunit NFKB1 tune expression of these enzymes and transporters, and inflammatory cytokines such as TNF and IFNG feed into the same control, linking immune activation to altered vitamin handling. The consequences run through retinoic acid-dependent differentiation, one-carbon metabolism and tissue responses to nutritional status.	description+name+genes	10	claude-opus-5	v4	current
go:GO:0030705	Cells are too large for diffusion alone to place organelles, vesicles and mRNAs where they are needed, and cytoskeleton-dependent intracellular transport is the machinery that moves cargo along microtubules and actin filaments to specific destinations. It sustains long neuronal axons, positions mitochondria and lysosomes according to local demand, delivers pigment and lytic granules, and builds the cilium. Kinesins such as KIF5 and KIF1A drive anterograde movement, cytoplasmic dynein with its dynactin subunit DCTN1 drives retrograde movement, and myosins including MYO5A handle short-range actin-based delivery, while adaptor families - HOOK proteins, BICD proteins, TRAK1/TRAK2 with the mitochondrial Rho GTPases RHOT1/RHOT2, BORC and BLOC-1 subunits - decide which cargo is coupled to which motor. Intraflagellar transport components carry cargo within cilia. Loss of these functions produces motor neuron disease, spastic paraplegia, hereditary neuropathy, ciliopathies and pigmentation disorders.	description+name+genes	223	claude-opus-5	v4	current
go:GO:0030718	Fertility over a lifetime depends on keeping a reserve of germ-line stem cells undifferentiated and self-renewing rather than letting them all commit to gametogenesis at once; this maintenance programme preserves that reserve. Loss of it empties the germ line, causing infertility, while failure to restrain the germ cell state contributes to germ cell tumours. The genes here act at the transcriptional and post-transcriptional levels: NANOS2 represses meiotic entry by binding target mRNAs and keeping male germ cells in a stem-like state, PIWIL2 works in the piRNA pathway to silence transposons and protect germline genome integrity, and PRDM14, TFAP2C and ZIC3 belong to the regulatory network that specifies and sustains pluripotent and germ cell identity, including epigenetic resetting. The pathway therefore links stem cell self-renewal, germ cell specification and reproductive tissue homeostasis.	description+name+genes	5	claude-opus-5	v4	current
go:GO:0030728	Ovulation is the release of a mature oocyte from the ovarian follicle, the single event that makes fertilization possible and that sets the timing of the menstrual and estrous cycle. Its failure produces anovulatory infertility, as seen when progesterone receptor signalling or its coregulators are lost. The LH surge triggers a coordinated remodelling programme in the preovulatory follicle: EGF-like factors such as epiregulin relay the surge to cumulus cells and drive their expansion, while proteases including ADAMTS1, MMP2 and MMP19 digest the follicular wall and extracellular matrix so the oocyte-cumulus complex can escape. Prostaglandin availability, controlled in part by degradative enzymes, and nitric oxide from endothelial NOS support the accompanying vascular and inflammatory changes. Activin subunits, FOXO3 and SIRT1 link the process to follicle recruitment, oocyte reserve and systemic metabolic and nutritional status signalled through leptin.	description+name+genes	17	claude-opus-5	v4	current
go:GO:0030730	Triglyceride storage is the sequestration of neutral fat into cytoplasmic lipid droplets so that fatty acids are held in an inert form until the cell needs fuel or membrane lipid. It lets adipocytes act as the body's energy reserve and protects other tissues from lipotoxic free fatty acids and ceramides; when it fails, fat accumulates ectopically in liver and muscle and drives steatosis and insulin resistance. The genes here cover droplet formation and its regulation: a fat-storage-inducing transmembrane protein shapes droplet budding from the endoplasmic reticulum, while perilipins coat the droplet surface and control access to it, PLIN5 tethering droplets to mitochondria for regulated fatty acid oxidation. The same coat proteins gate ATGL-driven lipolysis, so storage and mobilisation are two settings of one system, extended in lipid-laden macrophages by TREM2 signalling.	description+name+genes	6	claude-opus-5	v3	superseded
go:GO:0030730	Cells that take in more fatty acid than they immediately oxidise must sequester it as triglyceride inside lipid droplets, and triglyceride storage is the process that packages and confines these neutral lipid esters away from the rest of the cytoplasm. This buffering protects membranes and mitochondria from free fatty acid toxicity and provides a fuel reserve that can be mobilised during fasting or exercise. Droplet biogenesis machinery shapes nascent droplets at the endoplasmic reticulum, while perilipin family proteins coat the droplet surface and control access to it: PLIN5 is prominent in oxidative tissues such as heart and muscle, and PLIN2 accumulates in steatotic liver. The lipase ATGL, encoded by PNPLA2, initiates hydrolysis of stored triglyceride, so storage and release are set by competition at the droplet coat. TREM2 links this lipid handling to lipid-laden macrophage and microglial states in obesity and neurodegeneration.	description+name+genes	6	claude-opus-5	v4	current
go:GO:0030808	Control over how fast cells make nucleotides, covering both the purine and pyrimidine building blocks used for nucleic acid synthesis and the cyclic and energy-carrying nucleotides ATP, cAMP and cGMP. Because these molecules serve simultaneously as genetic precursors, energy currency and second messengers, their rate of formation ties growth and proliferation to metabolic state. The regulators here are heterogeneous: ATP5IF1 restrains the mitochondrial ATP synthase and methyltransferases and assembly factors such as DNAJC30 and TAFAZZIN tune oxidative phosphorylation capacity, PINK1 and PRKN police mitochondrial quality, GUCA1A and RD3 set cGMP production by retinal guanylate cyclase for photoreceptor light adaptation, ADCY10 generates bicarbonate-responsive cAMP, and PARP1 consumes NAD+ during DNA damage responses. Transcriptional and signalling inputs from PPARA, STAT3, MAP2K1 and IL4 link the process to nutrient sensing and immune activation; its failure contributes to mitochondrial disease and retinal degeneration.	description+name+genes	25	claude-opus-5	v4	current
go:GO:0030809	negative regulation of nucleotide biosynthetic process covers the brakes cells place on the synthesis of nucleotides and the cyclic nucleotides used as second messengers, keeping energy currency and signalling molecules from being made when they are not needed. Restraint here matters because uncontrolled nucleotide production wastes carbon, nitrogen and ATP, and because sustained cyclic nucleotide signalling is itself toxic in some tissues. The genes act at several levels: ATP5IF1 clamps the mitochondrial ATP synthase to prevent futile ATP hydrolysis and resynthesis when the proton gradient collapses during ischaemia, PARP1 consumes NAD+ while modifying chromatin, and RD3 suppresses retinal guanylate cyclase activity, a control whose loss causes photoreceptor degeneration and childhood blindness. Together they link nucleotide supply to mitochondrial energy state, DNA damage responses, and sensory neuron survival.	description+name+genes	5	claude-opus-5	v3	superseded
go:GO:0030809	Nucleotide pools have to be held in check as well as replenished, and this is the restraining side of nucleotide biosynthesis " processes that slow or block the formation of purine and pyrimidine nucleotides and cyclic nucleotide second messengers. Damping such synthesis conserves phosphate and energy, keeps cyclic nucleotide signals transient, and limits the deoxynucleotide supply available for replication. The genes involved act through quite different routes: an inhibitory factor that blocks the mitochondrial ATP synthase from running in reverse and consuming ATP, a DNA damage sensor whose poly(ADP-ribose) synthesis draws heavily on NAD+, a regulator of retinal guanylate cyclase activity that restrains cGMP production in photoreceptors, and an insulin-signalling modulator. Loss of such restraint contributes to photoreceptor degeneration, where excess cGMP is toxic, and to the metabolic imbalance seen when nucleotide turnover outpaces demand.	description+name+genes	5	claude-opus-5	v4	current
go:GO:0030810	Positive regulation of nucleotide biosynthetic process covers the signals that push cells to make more nucleotides, including the cyclic nucleotide second messengers cAMP and cGMP as well as the purine and pyrimidine precursors needed for nucleic acid synthesis and energy metabolism. Raising nucleotide output supports proliferation, mitochondrial ATP production, and sensory and hormonal signalling; guanylate cyclase activators such as GUCA1A set the cGMP levels that govern photoreceptor recovery after light, while soluble adenylate cyclase ADCY10 couples bicarbonate and calcium to cAMP generation. Other members act indirectly, through growth factor and cytokine signalling via MAP2K1 and STAT3, lipid-sensing transcription by PPARA, and mitochondrial quality control by PINK1 and PRKN, which sustains the respiratory capacity on which nucleotide synthesis depends. The grouping therefore links metabolic demand and stress status to nucleotide supply.	description+name+genes	16	claude-opus-5	v3	superseded
go:GO:0030810	Nucleotides are needed for energy currency, nucleic acid synthesis and second-messenger signalling, and this grouping covers the regulatory inputs that raise the rate at which cells make them. Much of it concerns cyclic nucleotide production: a soluble bicarbonate- and calcium-sensitive adenylate cyclase generates cAMP, while guanylate cyclase activating protein tunes retinal guanylate cyclase to restore cGMP after photoreceptor excitation, a step whose failure causes inherited cone dystrophy. Other members act indirectly, by controlling mitochondrial capacity and the nucleotide pools that depend on it — PINK1 and parkin direct damaged mitochondria to mitophagy, tafazzin remodels cardiolipin for inner-membrane function, and a respiratory complex I subunit contributes to oxidative phosphorylation. Transcriptional and kinase regulators such as PPARA, STAT3 and MAP2K1 couple growth-factor, cytokine and lipid signals to biosynthetic demand, linking nucleotide supply to proliferation and metabolic state.	description+name+genes	16	claude-opus-5	v4	current
go:GO:0030812	Nucleotides are both the currency of energy transfer and the substrates of nucleic acid synthesis, so restraining their breakdown is a way of conserving the ATP and nucleoside pool when demand or supply changes. The negative regulation of nucleotide catabolism collected here sits at the interface of energy sensing and metabolic gene control: transcriptional regulators such as PPARA, STAT3, NCOR1 and the deacetylases SIRT6 and HDAC4 set the expression of catabolic enzymes, while DDIT4 and FLCN feed into nutrient-responsive mTOR signalling, and PRKACA and PPP2CA impose kinase and phosphatase control on the same machinery. Glycolytic and gluconeogenic control points including FBP1, PFKFB1 and TIGAR link the fate of nucleotides to carbon flux and NADPH supply. Loss of such restraint contributes to ATP depletion, purine degradation to urate, and the metabolic stress responses seen in ischaemia, muscle wasting and tumour cells.	description+name+genes	20	claude-opus-5	v4	current
go:GO:0030813	Cells raise the rate at which nucleotides are broken down when energy demand, oxygen supply or hormonal signals change, and this positive regulation of nucleotide catabolism links fuel sensing to the turnover of ATP and related nucleotides. Much of the control is transcriptional and hormonal: the hypoxia-inducible factor subunits HIF1A and ARNT reprogramme glycolytic and nucleotide-handling enzymes when oxygen is scarce, MLXIPL drives carbohydrate-responsive gene expression, and insulin acting through INSR, together with IGF1, couples nutrient availability to catabolic flux. Opposing energy sensors appear on both sides, with the AMP-activated kinase catalytic subunits PRKAA1 and PRKAA2 responding to falling adenylate charge while mTOR with RPTOR, MLST8 signals sufficiency. Purinergic signalling through the ATP-gated channel P2RX7 ties extracellular nucleotide release to inflammation, and APP and PSEN1 connect the same control to neuronal metabolism.	description+name+genes	22	claude-opus-5	v4	current
go:GO:0030832	How long an actin filament grows, and when it stops, determines whether a cell can crawl, form a lamellipodium, hold a sarcomere register, or maintain a membrane skeleton. Regulation of actin filament length covers the capping, severing, nucleation and monomer-supply activities that set filament size. Capping protein subunits and their CARMIL regulators block barbed-end growth, tropomodulins and adducins cap pointed ends and spectrin-associated junctions, gelsolin, scinderin and the cofilin/destrin family sever filaments, while profilins and thymosin manage the polymerizable monomer pool and the Arp2/3 complex with WAVE/WASP nucleation promoting factors initiates new branches. Rho-family GTPases, their GAPs, slingshot phosphatases and LIM-kinase-linked control place this machinery downstream of chemokine and guidance cues such as CXCL12, SLIT2 and semaphorins. Defects surface as immunodeficiency, deafness, nephrotic syndrome and myopathy, reflecting how many tissues depend on filament length control.	description+name+genes	153	claude-opus-5	v4	current
go:GO:0030833	Cells build and dismantle actin filaments constantly, and this pathway covers the control layer that sets how fast and how far filaments grow. It determines cell shape, migration, phagocytosis, membrane protrusion, cell-cell junction strength and specialized structures such as the podocyte foot process and the erythrocyte membrane skeleton. Nucleation is driven by the branched-filament Arp2/3 complex and its activating nucleation-promoting factors, while profilins charge monomers for elongation and formin- and Ena/VASP-type elongators extend barbed ends. Opposing activities cap, sever and depolymerize: capping protein subunits and their CARMIL regulators, gelsolin-family severing proteins, cofilin and its slingshot phosphatase activators, twinfilin, and tropomodulins that block thin-filament ends. Rho-family GTPases, notably RAC1 and CDC42 effectors together with GAPs and adaptors such as NCK and GRB2, couple receptor signalling to these choices; spectrins and adducins anchor the result to the membrane.	description+name+genes	130	claude-opus-5	v4	current
go:GO:0030835	Actin filaments are constantly turning over, and the processes that block their disassembly determine which structures persist: stress fibres, the erythrocyte membrane skeleton, sarcomeric thin filaments of defined length, and the brush border of the intestinal epithelium. Negative regulation of actin filament depolymerization works largely by capping filament ends so that subunits can neither be added nor lost. Capping protein subunits (CAPZA1/2, CAPZB) with their CARMIL regulators cap barbed ends, while tropomodulins and leiomodins cap and stabilise pointed ends, setting thin filament length in striated muscle. Adducins and spectrins tie capped short filaments into the junctional complexes that give red cells and neurons their mechanical resilience. Gelsolin-family members such as gelsolin, scinderin and villin cap as well as sever, so their contribution depends on calcium and lipid context. Loss of these activities destabilises muscle, membrane skeleton and stereocilia architecture, causing nemaline myopathy, haemolytic anaemia and deafness.	description+name+genes	47	claude-opus-5	v4	current
go:GO:0030836	Actin filaments must be taken apart as fast as they are built, and this is the regulatory arm that accelerates filament depolymerization to recycle subunits back into the polymerizable pool. Without it, cells cannot retract a lamellipodium, turn over adhesions, or remodel the cortex, so migration, cytokinesis and neuronal process dynamics stall. The core activity comes from the ADF/cofilin family — cofilin-1, cofilin-2 and destrin — which sever and disassemble aged, ADP-bound filaments, with WDR1 (AIP1) enhancing their severing and CARMIL proteins relieving capping protein so that ends remain available for turnover. The phosphatase PDXP dephosphorylates cofilin at the inhibitory serine, switching it on, while lipid- and receptor-linked inputs couple disassembly to extracellular cues. Villin adds calcium-dependent severing in the intestinal brush border, linking this control to specialized microvillar architecture as well as general motility.	description+name+genes	14	claude-opus-5	v4	current
go:GO:0030837	Actin filaments must be stopped as well as started, and this is the braking side of that balance: processes that cap, sever, sequester or otherwise limit filament elongation so that networks reach a defined length and cells do not run away with unproductive protrusion. It sets the architecture of the erythrocyte and neuronal membrane skeleton, the brush border, the sarcomere thin filament, and the leading edge of migrating cells. Barbed ends are blocked by the capping protein heterodimer and its CARMIL regulators, pointed ends by tropomodulins and leiomodins; gelsolin, scintillin and villin sever filaments in a calcium-dependent way, cofilin and twinfilin turn over ADP-actin, thymosin beta-4 sequesters monomers, and slingshot phosphatases reactivate cofilin. Spectrins and adducins cross-link and cap short filaments into the membrane lattice. Loss of this restraint destabilises red cell shape, muscle thin-filament length and directed migration.	description+name+genes	59	claude-opus-5	v4	current
go:GO:0030838	Cells extend lamellipodia, form podosomes and lift membrane protrusions by driving new actin filament growth, and positive regulation of actin filament polymerization covers the activators that raise the rate and extent of that growth. It underlies cell migration, phagocytosis and immune cell chemotaxis, endocytic and membrane-remodelling events, and the maintenance of specialized structures such as the podocyte foot process, where nephrin-associated components link the slit diaphragm to the cytoskeleton. Rho-family GTPase signalling through RAC1 and CDC42 effectors converges on nucleation-promoting factors: the WAVE regulatory complex subunits, the branching activity of the Arp2/3 complex, BAR-domain and SH3 adaptors, and elongation factors including profilins and Ena/VASP proteins. Chemokine receptor engagement, tyrosine kinases such as FER and HCK, and mTOR complex components feed into the same output, coupling external cues to protrusion and shape change.	description+name+genes	52	claude-opus-5	v4	current
go:GO:0030850	The prostate arises from the urogenital sinus as androgen-dependent epithelial buds that invade surrounding mesenchyme and branch into a secretory gland producing the alkaline fluid of semen. Prostate gland development depends on androgen receptor signalling in the mesenchyme, relayed to epithelium through diffusible factors: FGF10 acting via FGFR2 and its adaptor FRS2, sonic hedgehog through PTCH1 and GLI1, BMP4 and BMP7 restrained by noggin, and WNT5A with beta-catenin shaping ductal branching. Posterior HOX genes, including HOXB13 and HOXA13, provide positional identity, while FOXA1 and NKX3-1 specify luminal secretory differentiation and, with CDKN1B, hold proliferation in check. Oestrogen and prolactin receptors, aromatase and retinoid receptors modulate the hormonal environment. Because the same androgen and transcriptional circuitry is reactivated in adult disease, these genes are recurrently altered in benign prostatic hyperplasia and prostate cancer, where NKX3-1 loss is an early event.	description+name+genes	50	claude-opus-5	v4	current
